Seller_ID,Total_Revenue,Total_Orders,Seller_Rank
77530e9772f57a62c906e1c21538ab82,55063.99,320,39
8160255418d5aaa7dbdc9f4c64ebda44,54871.5,385,40
ea8482cd71df3c1969d7b9473ff13abc,54722.29,1146,41
e882b2a25a10b9c057cc49695f222c19,53913.76,57,42
4e922959ae960d389249c378d1c939f5,53304.75,420,43
e9779976487b77c6d4ac45f75ec7afe9,53302.66,657,44
966cb4760537b1404caedd472cc610a5,52935.87,75,45
2bf6a2c1e71bbd29a4ad64e6d3c3629f,51629.49,30,46
4d6d651bd7684af3fffabd5f08d12e5a,51486.31,369,47
c826c40d7b19f62a09e2d7c5e7295ee2,51217.22,354,48
d91fb3b7d041e83b64a00a3edfb37e4f,50180.51,535,49
391fc6631aebcf3004804e51b40bcf1e,50142.83,526,50
17a053fcb14bd219540cbde0df490be0,49531.57,125,51
c3cfdc648177fdbbbb35635a37472c53,49127.81,278,52
06a2c3af7b3aee5d69171b0e14f0ee87,48550.24,392,53
850f4f8af5ea87287ac68de36e29107f,48469.77,187,54
b33e7c55446eabf8fe1a42d037ac7d6d,47710.24,152,55
eeb6de78f79159600292e314a77cbd18,46795.28,83,56
712e6ed8aa4aa1fa65dab41fed5737e4,46704.13,79,57
2eb70248d66e0e3ef83659f71b244378,45860.1,202,58
ba90964cff9b9e0e6f32b23b82465f7b,45523.5,38,59
634964b17796e64304cadf1ad3050fb7,45420.53,268,60
7142540dd4c91e2237acb7e911c4eba2,44289.16,319,61
834f3294fba9f932f56edc879193f925,44207.42,66,62
b839e41795b7f3ad94cc2014a52f6796,43749.93,33,63
c3867b4666c7d76867627c2f7fb22e21,42197.18,245,64
1835b56ce799e6a4dc4eddc053f04066,42086.16,423,65
dbc22125167c298ef99da25668e1011f,41789.16,406,66
7299e27ed73d2ad986de7f7c77d919fa,41581.08,338,67
7178f9f4dd81dcef02f62acdf8151e01,41478.92,203,68
c70c1b0d8ca86052f45a432a38b73958,40476.28,261,69
53e4c6e0f4312d4d2107a8c9cddf45cd,40036.19,473,70
855668e0971d4dfd7bef1b6a4133b41b,40005.36,312,71
e9bc59e7b60fc3063eb2290deda4cced,39031.56,216,72
87142160b41353c4e5fca2360caf6f92,38314.31,305,73
0241d4d5d36f10f80c644447315af0bd,38251.61,238,74
59417c56835dd8e2e72f91f809cd4092,37657.77,18,75
76d5af76d0271110f9af36c92573f765,37541.56,131,76
9c0e69c7bf2619675bbadf47b43f655a,36602.96,157,77
88460e8ebdecbfecb5f9601833981930,36543.1,248,78
70a12e78e608ac31179aea7f8422044b,36465.44,315,79
2528513dd95219a6013d4d05176e391a,36438.75,161,80
1554a68530182680ad5c8b042c3ab563,35850.79,247,81
7681ef142fd2c19048da7430856b5588,34857.93,59,82
70eea00b476a314817cefde4aad4f89a,34764.17,108,83
5c243662ce92d84573bfaff24c3e3700,34637.66,98,84
001cca7ae9ae17fb1caed9dfb1094831,33934.17,200,85
e59aa562b9f8076dd550fcddf0e73491,33803.97,70,86
1900267e848ceeba8fa32d80c1a5f5a8,33120.59,411,87
9f505651f4a6abe901a56cdc21508025,32391.86,397,88
d1c281d3ae149232351cd8c8cc885f0d,32339.06,215,89
0b90b6df587eb83608a64ea8b390cf07,32207.64,164,90
59b22a78efb79a4797979612b885db36,32082.07,125,91
d23019c84ffae2d5ef2270367b8605fc,31954.84,39,92
a3a38f4affed601eb87a97788c949667,31775.27,254,93
8b321bb669392f5163d04c59e235e066,31692.05,943,94
900ba814c251a692506d7834c1218441,31467.94,88,95
16090f2ca825584b5a147ab24aa30c86,31173.11,402,96
d2374cbcbb3ca4ab1086534108cc3ab7,30817.8,524,97
12b9676b00f60f3b700e83af21824c0e,30342.69,135,98
7e1fb0a3ebfb01ffb3a7dae98bf3238d,30335.93,159,99
897060da8b9a21f655304d50fd935913,29887.47,317,100
c003204e1ab016dfa150abc119207b24,29850.89,197,101
b32be1695eb7ec5f10f72d9610a12527,29831.02,45,102
de23c3b98a88888289c6f5cc1209054a,29081.81,164,103
dc4a0fc896dc34b0d5bfec8438291c80,28795.09,231,104
a416b6a846a11724393025641d4edd5e,28670.52,162,105
710e3548e02bc1d2831dfc4f1b5b14d4,27855.07,136,106
1c68394e931a64f90ea236c5ea590300,27729.16,142,107
1a3df491d1c4f1589fc2b934ada68bf2,27594.12,167,108
f62d7bb4a613ec758a03342d46b580b2,26790.59,32,109
b94cc9f10ddc85e4ba73a6f7974e7101,26368.49,39,110
7ad32824caee82087b3e2e5f33b1bf32,26050.32,151,111
8f2ce03f928b567e3d56181ae20ae952,25550.01,153,112
729f06993dac8e860d4f02d7088ca48a,25479.65,96,113
f45122a9ab94eb4f3f8953578bc0c560,25404.13,187,114
612170e34b97004b3ba37eae81836b4c,25372.08,107,115
b1b3948701c5c72445495bd161b83a4c,25185.49,18,116
8444e55c1f13cd5c179851e5ca5ebd00,24951.27,99,117
2b3e4a2a3ea8e01938cabda2a3e5cc79,24535.1,52,118
b37c4c02bda3161a7546a4e6d222d5b2,24487.6,4,119
744dac408745240a2c2528fb1b6028f3,24385.02,79,120
06e5eefc71ec47ae763c5c6f8db7064f,24381.84,92,121
85d9eb9ddc5d00ca9336a2219c97bb13,24029.58,509,122
40db9e9aa57f7bb151bcda6b0f9bdbb7,23823.99,12,123
05ff92fedb5be47920fea08e501238b9,23808.17,59,124
0dd184061fb0eaa7ca37932c68ab91c5,23766.42,161,125
59fb871bf6f4522a87ba567b42dafecf,23754.76,126,126
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,23695.2,20,127
00ee68308b45bc5e2660cd833c3f81cc,23440.66,135,128
7b0df942f46435babab05d49b744b2c4,23272.78,32,129
004c9cd9d87a3c30c522c48c4fc07416,23263.94,158,130
f457c46070d02cadd8a68551231220dd,22807.22,199,131
bfd27a966d91cfaafdb25d076585f0da,22645.05,117,132
48162d548f5b1b11b9d29d1e01f75a61,22592.17,68,133
dc317f341ab0e22f39acbd9dbf9b4a1f,22570.13,55,134
44073f8b7e41514de3b7815dd0237f4f,21901.93,144,135
128639473a139ac0f3e5f5ade55873a5,21694.45,533,136
0c8380b62e38e8a1e6adbeba7eb9688c,21455.83,182,137
41b39e28db005d9731d9d485a83b4c38,21042.91,195,138
cd68562d3f44870c08922d380acae552,20777.19,125,139
821fb029fc6e495ca4f08a35d51e53a5,20740.25,28,140
54a1852d1b8f10312c55e906355666ee,20614.4,200,141
7aa4334be125fcdd2ba64b3180029f14,20603.33,217,142
86ccac0b835037332a596a33b6949ee1,20588.6,180,143
fa40cc5b934574b62717c68f3d678b6d,20586.77,307,144
76d64c4aca3a7baf218bf93ef7fa768d,20455.29,64,145
96493fab2fbb13a14d0c0e8772eef5c3,20181.23,63,146
d650b663c3b5f6fb392b6326366efa9a,20153.04,60,147
2a5b78b41cd05baeac8df54c6606b92c,20132.83,49,148
1e8b33f18b4f7598d87f5cbee2282cc2,20011.3,123,149
527801b552d0077ffd170872eb49683b,20005.36,90,150
c33847515fa6305ce6feb1e818569f13,19894.26,114,151
4b9750c8ad28220fe6702d4ecb7c898f,19305.1,218,152
9de4643a8dbde634fe55621059d92273,19282.41,72,153
2a84855fd20af891be03bc5924d2b453,19270.61,164,154
79ebd9a61bac3eaf882805ed4ecfa12a,19105.14,136,155
165fc07beebdcb6190fba8a06db2a449,19081.43,50,156
4c2b230173bb36f9b240f2b8ac11786e,18989.84,261,157
a888faf2d1baececa6baf9c3d603ee1f,18887.32,54,158
213b25e6f54661939f11710a6fddb871,18839.96,155,159
c72de06d72748d1a0dfb2125be43ba63,18733.18,21,160
94144541854e298c2d976cb893b81343,18715.65,68,161
ef0ace09169ac090589d85746e3e036f,18538.95,129,162
4a3ccda38b2129705f3fb522db62ca31,18494.93,66,163
0adac9fbd9a2b63cccaac4f8756c1ca8,18460.22,110,164
2138ccb85b11a4ec1e37afbd1c8eda1f,18426.25,396,165
abe42c5d03695b4257b5c6cbf4e6784e,18158.23,50,166
229c3efbfb0ea2058de4ccdfbc3d784a,18106.57,121,167
1b4c3a6f53068f0b6944d2d005c9fc89,17791.67,113,168
8ae520247981aa06bc94abddf5f46d34,17766.34,65,169
01fdefa7697d26ad920e9e0346d4bd1b,17690.07,129,170
66922902710d126a0e7d26b0e3805106,17581.07,151,171
d921b68bf747894be13a97ae52b0f386,17403.81,77,172
5cf13accae3222c70a9cac40818ae839,17402.47,149,173
ce248b21cb2adc36282ede306b7660e5,17296.95,65,174
e5a38146df062edaf55c38afa99e42dc,17254.59,121,175
d94a40fd42351c259927028d163af842,17220.94,101,176
c3acdfac4e3e97ff87529454fbc03642,17057.28,12,177
6d66611d7c44cc30ce351abc49a68421,16854.37,166,178
2e90cb1677d35cfe24eef47d441b7c87,16782.16,127,179
669ae81880e08f269a64487cfb287169,16621.46,162,180
f9244d45189d3a3605499abddeade7d5,16607.42,21,181
1f1bb1f0859883505541bdd6606193e5,16562.87,27,182
3b15288545f8928d3e65a8f949a28291,16513.69,104,183
6061155addc1e54b4cfb51c1c2a32ad8,16513.31,28,184
a673821011d0cec28146ea42f5ab767f,16490.14,129,185
75d34ebb1bd0bd7dde40dd507b8169c3,16479.51,62,186
c847e075301870dd144a116762eaff9a,16460.78,42,187
a3e9a2c700480d9bb01fba070ba80a0e,16323.89,130,188
cfb1a033743668a192316f3c6d1d2671,16236.2,147,189
8e6d7754bc7e0f22c96d255ebda59eba,16212.51,85,190
87b740daf17b5d1be335a64164ec6842,16182.38,13,191
a5cba26a62b8b4d0145b68b841e62e7f,16120.66,54,192
6edacfd9f9074789dad6d62ba7950b9c,16087.6,208,193
6039e27294dc75811c0d8a39069f52c0,16047.17,64,194
1f9ab4708f3056ede07124aad39a2554,16043.51,78,195
440dd6ab244315c632130ecfb63827b1,15793.21,94,196
ac3508719a1d8f5b7614b798f70af136,15792.23,103,197
701938c450705b8ae65fc923b70f35c7,15792.12,75,198
05f51e13da97139648b8125c31e5f51b,15788.3,60,199
530ec6109d11eaaf87999465c6afee01,15640.21,97,200
