Product_ID,Product_Category_Name,Quantity_Sold,Avg_Review_Score
d017a2151d543a9885604dc62a3d9dcc,Fashion_Bags_Accessories,140,4.06
36f60d45225e60c7da4558b070ce4b60,Computers_Accessories,137,3.29
e0cf79767c5b016251fe139915c59a26,Health_Beauty,137,4.48
ec2d43cc59763ec91694573b31f1c29a,Bed_Bath_Table,131,4.07
b0961721fd839e9982420e807758a2a6,Garden_Tools,127,4.15
d285360f29ac7fd97640bf0baef03de0,Watches_Gifts,123,3.72
4c2394abfbac7ff59ec7a420918562fa,Health_Beauty,123,3.77
c6dd917a0be2a704582055949915ab32,Cool_Stuff,120,4.24
89321f94e35fc6d7903d36f74e351d40,Food,119,3.98
601a360bd2a916ecef0e88de72a6531a,Cool_Stuff,119,4.27
52c80cedd4e90108bf4fa6a206ef6b03,Garden_Tools,118,4.19
6f3b5b605d91b7439c5e3f5a8dffeea7,Watches_Gifts,117,4.09
0bcc3eeca39e1064258aa1e932269894,Garden_Tools,116,4.08
54d9ac713e253fa1fae9c8003b011c2a,Cool_Stuff,114,4.35
08574b074924071f4e201e151b152b4e,Garden_Tools,113,4.02
84f456958365164420cfc80fbe4c7fab,Bed_Bath_Table,111,3.3
165f86fe8b799a708a20ee4ba125c289,Cool_Stuff,109,3.82
4fe644d766c7566dbc46fb851363cb3b,Art,107,3.75
595fac2a385ac33a80bd5114aec74eb8,Perfumery,106,4.41
7ce94ab189134e2d3c05f496d635419c,Electronics,106,4.06
d5991653e037ccb7af6ed7d94246b249,Computers_Accessories,104,3.95
0a57f7d2c983bcf8188589a5fea4a8da,Watches_Gifts,104,3.59
9ecadb84c81da840dbf3564378b586e9,Furniture_Decor,103,3.82
78efe838c04bbc568be034082200ac20,Furniture_Decor,101,4.38
880be32f4db1d9f6e2bec38fb6ac23ab,Toys,100,4.34
6c3effec7c8ddba466d4f03f982c7aa3,Consoles_Games,97,3.89
29427de7f8a9ee983d9dbc51cec569b4,Cool_Stuff,97,4.27
eb8c629f70275fd1c4f809116cce1efc,Furniture_Decor,95,3.69
777d2e438a1b645f3aec9bd57e92672c,Bed_Bath_Table,95,4.05
3f14d740544f37ece8a9e7bc8349797e,Computers_Accessories,95,3.66
617186c3d97ea56c9c683a8a3974e8c1,Perfumery,95,4.31
75d6b6963340c6063f7f4cfcccfe6a30,Perfumery,94,4.11
c6336fa91fbd87c359e44f5dca5a90ed,Sports_Leisure,94,4.01
43423cdffde7fda63d0414ed38c11a73,Watches_Gifts,93,3.62
cd48f265a63e13b762601f5f794c5fca,Drinks,93,4.24
e7cc48a9daff5436f63d3aad9426f28b,Telephony,93,3.53
8c292ca193d326152e335d77176746f0,Health_Beauty,92,4.08
b5e13c9a353102f79c6206ff5cb61a50,Toys,91,2.89
4298b7e67dc399c200662b569563a2b2,Computers_Accessories,91,3.59
ee0c1cf2fbeae95205b4aa506f1469f0,Perfumery,90,4.07
ee406bf28024d97771c4b1e8b7e8e219,Cool_Stuff,90,4.15
4fcb3d9a5f4871e8362dfedbdb02b064,Auto,90,4.33
dbb67791e405873b259e4656bf971246,Computers_Accessories,89,3.85
cac9e5692471a0700418aa3400b9b2b1,Baby,89,4.18
2136c70bbe723d338fab53da3c03e6dc,Watches_Gifts,89,4.06
473795a355d29305c3ea6b156833adf5,Perfumery,88,4.26
7fb04722aba7a2b632bac8f9819796f3,Health_Beauty,87,4.14
363218ba55c610b750224f90bdd34be1,Bed_Bath_Table,86,4.47
a50acd33ba7a8da8e9db65094fa990a4,Auto,85,4.08
d04857e7b4b708ee8b8b9921163edba3,Computers_Accessories,84,4.29
fb55982be901439613a95940feefd9ee,Stationery,84,4.17
e44f675b60b3a3a2453ec36421e06f0f,Sports_Leisure,84,4.14
bee2e070c39f3dd2f6883a17a5f0da45,Computers_Accessories,80,4.09
c9c6fde711572c1ad99ca12728c6af00,Telephony,79,4.17
5411e9269501a870cabf632f05655131,Stationery,77,4.44
18b0e642cbae7251e60a64aa07dd9eb9,Computers_Accessories,75,4.29
64fb265487de2238627ce43fe8a67efc,Bed_Bath_Table,75,3.89
629e019a6f298a83aeecc7877964f935,Auto,74,4.56
3354a4e684f5e7199f9407db70ccd92b,Cool_Stuff,73,4.26
362b773250263786dd58670d2df42c3b,Sports_Leisure,73,2.92
5a6e53c3b4e8684b13388d6aa4afdf12,Housewares,73,4.16
0d85c435fd60b277ffb9e9b0f88f927a,Computers_Accessories,73,4.01
7e0dc102074f8285580c9777f79c90cf,Garden_Tools,72,3.69
cec09725da5ed01471d9a505e7389d37,Sports_Leisure,72,3.97
634256dbcd184b3757ffd7632c9fe52a,Health_Beauty,72,4.24
d3c044bd42d84a79e3b0c42662806a48,Sports_Leisure,72,4.11
